3/24/16,7:20 PM,Richmond,92-83,Carlton,Melbourne Cricket Ground
3/26/16,1:40 PM,Melbourne,80-78,GWS Giants,Melbourne Cricket Ground
3/26/16,3:35 PM,Gold Coast Suns,121-60,Essendon,Metricon Stadium
3/26/16,7:25 PM,North Melbourne,107-97,Adelaide Crows,Etihad Stadium
3/26/16,7:25 PM,Sydney Swans,133-53,Collingwood,Sydney Cricket Ground
3/27/16,1:10 PM,Western Bulldogs,103-38,Fremantle,Etihad Stadium
3/27/16,2:50 PM,Port Adelaide,133-100,St Kilda,Adelaide Oval
3/27/16,4:40 PM,West Coast Eagles,166-102,Brisbane Lions,Domain Stadium
3/28/16,3:20 PM,Geelong Cats,116-86,Hawthorn,Melbourne Cricket Ground
4/1/16,7:50 PM,Collingwood,87-86,Richmond,Melbourne Cricket Ground
4/2/16,1:15 PM,Adelaide Crows,144-86,Port Adelaide,Adelaide Oval
4/2/16,2:10 PM,Essendon,80-67,Melbourne,Melbourne Cricket Ground
4/2/16,3:35 PM,Brisbane Lions,83-117,North Melbourne,Gabba
4/2/16,7:25 PM,St Kilda,36-93,Western Bulldogs,Etihad Stadium
4/2/16,4:40 PM,Fremantle,100-126,Gold Coast Suns,Domain Stadium
4/3/16,1:10 PM,GWS Giants,89-76,Geelong Cats,Manuka Oval
4/3/16,3:20 PM,Hawthorn,99-53,West Coast Eagles,Melbourne Cricket Ground
4/3/16,4:40 PM,Carlton,71-131,Sydney Swans,Etihad Stadium
4/8/16,7:20 PM,Port Adelaide,112-51,Essendon,Adelaide Oval
4/9/16,1:45 PM,St Kilda,119-90,Collingwood,Melbourne Cricket Ground
4/9/16,2:10 PM,Richmond,92-128,Adelaide Crows,Etihad Stadium
4/9/16,4:35 PM,Sydney Swans,93-68,GWS Giants,Sydney Cricket Ground
4/9/16,7:25 PM,Gold Coast Suns,95-41,Carlton,Metricon Stadium
4/9/16,5:40 PM,West Coast Eagles,92-59,Fremantle,Domain Stadium
4/10/16,1:10 PM,North Melbourne,136-131,Melbourne,Blundstone Arena
4/10/16,3:20 PM,Western Bulldogs,90-93,Hawthorn,Etihad Stadium
4/10/16,4:40 PM,Geelong Cats,125-56,Brisbane Lions,Simonds Stadium
4/15/16,6:10 PM,West Coast Eagles,125-57,Richmond,Domain Stadium
4/16/16,1:45 PM,Essendon,42-72,Geelong Cats,Melbourne Cricket Ground
4/16/16,2:10 PM,Hawthorn,87-84,St Kilda,Aurora Stadium
4/16/16,4:35 PM,Brisbane Lions,107-94,Gold Coast Suns,Gabba
4/16/16,7:25 PM,Carlton,49-85,Western Bulldogs,Etihad Stadium
4/16/16,7:10 PM,Adelaide Crows,113-103,Sydney Swans,Adelaide Oval
4/17/16,1:10 PM,GWS Giants,151-65,Port Adelaide,Manuka Oval
4/17/16,3:20 PM,Collingwood,67-102,Melbourne,Melbourne Cricket Ground
4/17/16,4:40 PM,North Melbourne,132-101,Fremantle,Etihad Stadium
4/22/16,7:50 PM,Hawthorn,112-109,Adelaide Crows,Melbourne Cricket Ground
4/23/16,1:40 PM,Sydney Swans,88-49,West Coast Eagles,Sydney Cricket Ground
4/23/16,4:35 PM,Gold Coast Suns,81-119,North Melbourne,Metricon Stadium
4/23/16,7:25 PM,Western Bulldogs,120-67,Brisbane Lions,Etihad Stadium
4/23/16,7:10 PM,Port Adelaide,59-107,Geelong Cats,Adelaide Oval
4/23/16,1:10 PM,St Kilda,79-126,GWS Giants,Etihad Stadium
4/24/16,2:10 PM,Fremantle,68-72,Carlton,Domain Stadium
4/24/16,7:10 PM,Melbourne,129-96,Richmond,Melbourne Cricket Ground
4/25/16,3:20 PM,Collingwood,142-73,Essendon,Melbourne Cricket Ground
4/29/16,7:50 PM,North Melbourne,61-45,Western Bulldogs,Etihad Stadium
4/30/16,1:45 PM,Melbourne,96-135,St Kilda,Etihad Stadium
4/30/16,1:40 PM,Adelaide Crows,97-64,Fremantle,Adelaide Oval
4/30/16,4:35 PM,GWS Giants,158-83,Hawthorn,Spotless Stadium
4/30/16,7:25 PM,Richmond,59-94,Port Adelaide,Melbourne Cricket Ground
4/30/16,7:25 PM,Geelong Cats,168-48,Gold Coast Suns,Simonds Stadium
5/1/16,1:10 PM,Brisbane Lions,94-97,Sydney Swans,Gabba
5/1/16,3:20 PM,Carlton,72-57,Essendon,Melbourne Cricket Ground
5/1/16,2:40 PM,West Coast Eagles,124-62,Collingwood,Domain Stadium
5/6/16,7:50 PM,Richmond,90-136,Hawthorn,Melbourne Cricket Ground
5/7/16,1:45 PM,Collingwood,84-99,Carlton,Melbourne Cricket Ground
5/7/16,2:10 PM,Geelong Cats,123-79,West Coast Eagles,Simonds Stadium
5/7/16,4:35 PM,Sydney Swans,135-54,Essendon,Sydney Cricket Ground
5/7/16,5:10 PM,Gold Coast Suns,87-160,Melbourne,Metricon Stadium
5/7/16,7:40 PM,Western Bulldogs,123-108,Adelaide Crows,Etihad Stadium
5/8/16,6:10 PM,Fremantle,77-95,GWS Giants,Domain Stadium
5/8/16,3:20 PM,St Kilda,75-82,North Melbourne,Etihad Stadium
5/8/16,4:10 PM,Port Adelaide,136-59,Brisbane Lions,Adelaide Oval
5/13/16,7:20 PM,Adelaide Crows,72-98,Geelong Cats,Adelaide Oval
5/14/16,1:45 PM,Essendon,60-74,North Melbourne,Etihad Stadium
5/14/16,2:10 PM,Hawthorn,116-75,Fremantle,Aurora Stadium
5/14/16,4:35 PM,GWS Giants,149-58,Gold Coast Suns,Spotless Stadium
5/14/16,7:25 PM,Brisbane Lions,65-143,Collingwood,Gabba
5/14/16,7:25 PM,Richmond,101-100,Sydney Swans,Melbourne Cricket Ground
5/15/16,1:10 PM,Carlton,93-91,Port Adelaide,Etihad Stadium
5/15/16,3:20 PM,Melbourne,82-114,Western Bulldogs,Melbourne Cricket Ground
5/15/16,2:40 PM,West Coast Eagles,132-29,St Kilda,Domain Stadium
5/20/16,7:50 PM,Hawthorn,55-69,Sydney Swans,Melbourne Cricket Ground
5/21/16,1:45 PM,Collingwood,104-80,Geelong Cats,Melbourne Cricket Ground
5/21/16,2:10 PM,Gold Coast Suns,74-149,Adelaide Crows,Metricon Stadium
5/21/16,4:05 PM,Port Adelaide,86-94,West Coast Eagles,Adelaide Oval
5/21/16,7:25 PM,North Melbourne,113-46,Carlton,Etihad Stadium
5/21/16,5:40 PM,Fremantle,45-83,Richmond,Domain Stadium
5/22/16,1:10 PM,Melbourne,131-68,Brisbane Lions,Melbourne Cricket Ground
5/22/16,3:20 PM,GWS Giants,98-73,Western Bulldogs,Spotless Stadium
5/22/16,4:40 PM,St Kilda,109-63,Essendon,Etihad Stadium
5/27/16,7:50 PM,Sydney Swans,91-65,North Melbourne,Sydney Cricket Ground
5/28/16,1:45 PM,Brisbane Lions,87-135,Hawthorn,Gabba
5/28/16,1:40 PM,Melbourne,76-121,Port Adelaide,TIO Traeger Park
5/28/16,4:35 PM,St Kilda,101-67,Fremantle,Etihad Stadium
5/28/16,7:25 PM,Essendon,67-105,Richmond,Melbourne Cricket Ground
5/28/16,7:10 PM,Adelaide Crows,107-85,GWS Giants,Adelaide Oval
5/29/16,1:10 PM,Carlton,104-85,Geelong Cats,Etihad Stadium
5/29/16,3:20 PM,Collingwood,53-74,Western Bulldogs,Melbourne Cricket Ground
5/29/16,2:40 PM,West Coast Eagles,132-55,Gold Coast Suns,Domain Stadium
6/3/16,7:50 PM,North Melbourne,124-54,Richmond,Blundstone Arena
6/4/16,1:45 PM,Hawthorn,82-64,Melbourne,Melbourne Cricket Ground
6/4/16,2:10 PM,Carlton,102-64,Brisbane Lions,Etihad Stadium
6/4/16,4:35 PM,Geelong Cats,98-88,GWS Giants,Simonds Stadium
6/4/16,7:25 PM,Gold Coast Suns,41-79,Sydney Swans,Metricon Stadium
6/4/16,5:40 PM,Fremantle,126-47,Essendon,Domain Stadium
6/5/16,1:10 PM,Collingwood,58-125,Port Adelaide,Melbourne Cricket Ground
6/5/16,3:20 PM,Western Bulldogs,83-75,West Coast Eagles,Etihad Stadium
6/5/16,4:10 PM,Adelaide Crows,133-45,St Kilda,Adelaide Oval
6/10/16,7:50 PM,Essendon,43-151,Hawthorn,Etihad Stadium
6/11/16,1:10 PM,Port Adelaide,97-100,Western Bulldogs,Adelaide Oval
6/11/16,4:35 PM,Brisbane Lions,64-147,Fremantle,Gabba
6/11/16,7:25 PM,Geelong Cats,105-74,North Melbourne,Etihad Stadium
6/11/16,5:40 PM,West Coast Eagles,76-105,Adelaide Crows,Domain Stadium
6/12/16,1:10 PM,St Kilda,110-78,Carlton,Etihad Stadium
6/12/16,3:20 PM,Richmond,114-97,Gold Coast Suns,Melbourne Cricket Ground
6/12/16,4:40 PM,GWS Giants,105-63,Sydney Swans,Spotless Stadium
6/13/16,3:20 PM,Melbourne,104-58,Collingwood,Melbourne Cricket Ground
6/17/16,7:50 PM,North Melbourne,84-93,Hawthorn,Etihad Stadium
6/18/16,1:40 PM,Brisbane Lions,82-131,West Coast Eagles,Gabba
6/18/16,2:35 PM,Fremantle,86-69,Port Adelaide,Domain Stadium
6/18/16,7:25 PM,Western Bulldogs,43-100,Geelong Cats,Etihad Stadium
6/19/16,1:10 PM,Sydney Swans,86-31,Melbourne,Sydney Cricket Ground
6/19/16,4:40 PM,Essendon,90-117,GWS Giants,Etihad Stadium
6/23/16,7:20 PM,Adelaide Crows,100-67,North Melbourne,Adelaide Oval
6/24/16,7:50 PM,Collingwood,85-37,Fremantle,Melbourne Cricket Ground
6/25/16,1:40 PM,Richmond,117-75,Brisbane Lions,Melbourne Cricket Ground
6/25/16,4:35 PM,GWS Giants,127-65,Carlton,Spotless Stadium
6/25/16,7:25 PM,St Kilda,93-90,Geelong Cats,Etihad Stadium
6/26/16,3:20 PM,Hawthorn,86-60,Gold Coast Suns,Aurora Stadium
6/30/16,6:10 PM,West Coast Eagles,130-52,Essendon,Domain Stadium
7/1/16,7:20 PM,Port Adelaide,,Richmond,Adelaide Oval
7/2/16,1:40 PM,Gold Coast Suns,,St Kilda,Metricon Stadium
7/2/16,4:35 PM,Sydney Swans,,Western Bulldogs,Sydney Cricket Ground
7/2/16,7:25 PM,Carlton,,Collingwood,Melbourne Cricket Ground
7/3/16,3:20 PM,Melbourne,,Adelaide Crows,Melbourne Cricket Ground
7/7/16,7:20 PM,Port Adelaide,,Hawthorn,Adelaide Oval
7/8/16,7:50 PM,Geelong Cats,,Sydney Swans,Simonds Stadium
7/9/16,1:40 PM,GWS Giants,,Collingwood,Spotless Stadium
7/9/16,4:35 PM,Gold Coast Suns,,Brisbane Lions,Metricon Stadium
7/9/16,7:25 PM,Western Bulldogs,,Richmond,Etihad Stadium
7/9/16,7:10 PM,Melbourne,,Fremantle,TIO Stadium
7/10/16,1:10 PM,Carlton,,Adelaide Crows,Melbourne Cricket Ground
7/10/16,1:20 PM,West Coast Eagles,,North Melbourne,Domain Stadium
7/10/16,4:40 PM,Essendon,,St Kilda,Etihad Stadium
7/14/16,7:20 PM,Sydney Swans,,Hawthorn,Sydney Cricket Ground
7/15/16,6:10 PM,Fremantle,,Geelong Cats,Domain Stadium
7/16/16,1:40 PM,Richmond,,Essendon,Melbourne Cricket Ground
7/16/16,4:35 PM,North Melbourne,,Port Adelaide,Etihad Stadium
7/16/16,7:25 PM,Western Bulldogs,,Gold Coast Suns,Cazaly's Stadium
7/16/16,7:10 PM,Adelaide Crows,,Collingwood,Adelaide Oval
7/17/16,1:10 PM,Carlton,,West Coast Eagles,Melbourne Cricket Ground
7/17/16,3:20 PM,St Kilda,,Melbourne,Etihad Stadium
7/17/16,4:40 PM,Brisbane Lions,,GWS Giants,Gabba
7/22/16,7:50 PM,Collingwood,,North Melbourne,Etihad Stadium
7/23/16,1:45 PM,Sydney Swans,,Carlton,Sydney Cricket Ground
7/23/16,2:10 PM,Gold Coast Suns,,Fremantle,Metricon Stadium
7/23/16,2:35 PM,West Coast Eagles,,Melbourne,Domain Stadium
7/23/16,7:25 PM,Western Bulldogs,,St Kilda,Etihad Stadium
7/23/16,7:25 PM,Geelong Cats,,Adelaide Crows,Simonds Stadium
7/24/16,1:10 PM,Essendon,,Brisbane Lions,Etihad Stadium
7/24/16,3:20 PM,Hawthorn,,Richmond,Melbourne Cricket Ground
7/24/16,4:10 PM,Port Adelaide,,GWS Giants,Adelaide Oval
7/29/16,7:50 PM,Geelong Cats,,Western Bulldogs,Simonds Stadium
7/30/16,1:45 PM,GWS Giants,,Richmond,Manuka Oval
7/30/16,2:10 PM,Hawthorn,,Carlton,Aurora Stadium
7/30/16,4:35 PM,Collingwood,,West Coast Eagles,Melbourne Cricket Ground
7/30/16,7:25 PM,Brisbane Lions,,Port Adelaide,Gabba
7/30/16,7:25 PM,North Melbourne,,St Kilda,Etihad Stadium
7/31/16,1:10 PM,Melbourne,,Gold Coast Suns,Melbourne Cricket Ground
7/31/16,1:20 PM,Fremantle,,Sydney Swans,Domain Stadium
7/31/16,4:10 PM,Adelaide Crows,,Essendon,Adelaide Oval
8/5/16,7:50 PM,Richmond,,Collingwood,Melbourne Cricket Ground
8/6/16,1:45 PM,Sydney Swans,,Port Adelaide,Sydney Cricket Ground
8/6/16,2:10 PM,Melbourne,,Hawthorn,Melbourne Cricket Ground
8/6/16,4:35 PM,Gold Coast Suns,,GWS Giants,Metricon Stadium
8/6/16,7:25 PM,Western Bulldogs,,North Melbourne,Etihad Stadium
8/6/16,7:10 PM,Adelaide Crows,,Brisbane Lions,Adelaide Oval
8/7/16,1:10 PM,Carlton,,St Kilda,Melbourne Cricket Ground
8/7/16,3:20 PM,Geelong Cats,,Essendon,Etihad Stadium
8/7/16,2:40 PM,Fremantle,,West Coast Eagles,Domain Stadium
8/12/16,7:50 PM,Western Bulldogs,,Collingwood,Etihad Stadium
8/13/16,1:45 PM,Brisbane Lions,,Carlton,Gabba
8/13/16,2:10 PM,Hawthorn,,North Melbourne,Melbourne Cricket Ground
8/13/16,4:35 PM,GWS Giants,,West Coast Eagles,Spotless Stadium
8/13/16,7:25 PM,St Kilda,,Sydney Swans,Etihad Stadium
8/13/16,7:10 PM,Port Adelaide,,Melbourne,Adelaide Oval
8/14/16,1:10 PM,Essendon,,Gold Coast Suns,Etihad Stadium
8/14/16,3:20 PM,Richmond,,Geelong Cats,Melbourne Cricket Ground
8/14/16,2:40 PM,Fremantle,,Adelaide Crows,Domain Stadium
8/19/16,6:10 PM,West Coast Eagles,,Hawthorn,Domain Stadium
8/20/16,1:45 PM,North Melbourne,,Sydney Swans,Blundstone Arena
8/20/16,2:10 PM,Richmond,,St Kilda,Melbourne Cricket Ground
8/20/16,4:35 PM,GWS Giants,,Fremantle,Spotless Stadium
8/20/16,7:25 PM,Collingwood,,Gold Coast Suns,Etihad Stadium
8/20/16,7:10 PM,Port Adelaide,,Adelaide Crows,Adelaide Oval
8/21/16,1:10 PM,Carlton,,Melbourne,Melbourne Cricket Ground
8/21/16,3:20 PM,Brisbane Lions,,Geelong Cats,Gabba
8/21/16,4:40 PM,Essendon,,Western Bulldogs,Etihad Stadium
8/26/16,12:00 PM,Hawthorn,,Collingwood,Melbourne Cricket Ground
8/26/16,12:00 PM,St Kilda,,Brisbane Lions,Etihad Stadium
8/26/16,12:00 PM,Essendon,,Carlton,Melbourne Cricket Ground
8/26/16,12:00 PM,Gold Coast Suns,,Port Adelaide,Metricon Stadium
8/26/16,12:00 PM,Sydney Swans,,Richmond,Sydney Cricket Ground
8/26/16,12:00 PM,North Melbourne,,GWS Giants,Etihad Stadium
8/26/16,12:00 PM,Geelong Cats,,Melbourne,Simonds Stadium
8/26/16,12:00 PM,Adelaide Crows,,West Coast Eagles,Adelaide Oval
8/26/16,12:00 PM,Fremantle,,Western Bulldogs,Domain Stadium
