Geelong Cats,6-0-1,1.7145969498910676,100.0,97.66,57.18,26.56,9.87,4.05,1.68,0.44,0.16999999999999998,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 123-79 v WCE,13/5 @ ADE,1.6874,0.47619047619047616
Sydney Swans,6-0-1,1.5537848605577689,99.91,93.41,29.68,37.940000000000005,17.04,8.75,3.81,1.7500000000000002,0.7000000000000001,0.24,0.06999999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W 135-54 v ESS,14/5 @ RIC,2.2888,0.45408163265306123
GWS Giants,5-0-2,1.383363471971067,98.75999999999999,65.61,4.130000000000001,12.839999999999998,25.66,22.98,16.71,9.379999999999999,4.8,2.26,0.9299999999999999,0.26,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,W 95-77 @ FRE,14/5 v GC,4.0175,0.45663265306122447
North Melbourne,7-0-0,1.2300163132137032,97.90999999999998,59.19,6.4399999999999995,12.6,19.67,20.48,17.130000000000003,11.35,6.819999999999999,3.42,1.6099999999999999,0.4,0.06999999999999999,0.01,0.0,0.0,0.0,0.0,0.0,0.0,W 82-75 @ STK,14/5 @ ESS,4.208,0.5
Western Bulldogs,5-0-2,1.4579646017699115,96.56,47.28,2.19,7.4399999999999995,16.919999999999998,20.73,20.22,14.93,9.44,4.6899999999999995,2.25,0.8999999999999999,0.22,0.05,0.01,0.01,0.0,0.0,0.0,0.0,W 123-108 v ADE,15/5 @ MEL,4.7757,0.43622448979591844
West Coast Eagles,4-0-3,1.1661016949152543,84.77,18.23,0.22,1.31,5.74,10.96,16.39,19.78,16.88,13.489999999999998,9.030000000000001,4.3,1.43,0.4,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,L 79-123 @ GEE,15/5 v STK,6.3632,0.3818027210884354
Melbourne,4-0-3,1.1266568483063328,64.05,5.88,0.05,0.36,1.5699999999999998,3.9,8.35,13.79,17.78,18.25,17.49,12.17,4.7,1.21,0.29,0.06999999999999999,0.02,0.0,0.0,0.0,W 160-87 @ GC,15/5 v WB,7.6641,0.375
Adelaide Crows,4-0-3,1.1586608442503639,63.33,5.619999999999999,0.05,0.43,1.54,3.5999999999999996,6.710000000000001,12.280000000000001,17.61,21.11,19.12,11.0,4.8,1.35,0.35000000000000003,0.04,0.01,0.0,0.0,0.0,L 108-123 @ WB,13/5 v GEE,7.7565,0.4141156462585034
Hawthorn,5-0-2,0.9942857142857143,58.01,5.31,0.05,0.38999999999999996,1.49,3.38,6.419999999999999,10.96,16.0,19.32,20.13,15.78,4.61,1.03,0.38,0.06,0.0,0.0,0.0,0.0,W 136-90 @ RIC,14/5 v FRE,7.9106,0.4608843537414966
Port Adelaide,4-0-3,1.0208643815201193,32.08,1.7599999999999998,0.01,0.13,0.49,1.13,2.4699999999999998,5.04,8.799999999999999,14.01,20.150000000000002,29.299999999999997,12.5,4.01,1.3299999999999998,0.4,0.18,0.03,0.02,0.0,W 136-59 v BL,15/5 @ CAR,9.0891,0.38860544217687076
St Kilda,2-0-5,0.8882602545968883,2.92,0.03,0.0,0.0,0.01,0.02,0.08,0.16999999999999998,0.7000000000000001,1.94,5.6899999999999995,14.549999999999999,35.46,20.57,11.600000000000001,5.489999999999999,2.3800000000000003,0.9299999999999999,0.32,0.09,L 75-82 v NM,15/5 @ WCE,11.4086,0.3511904761904762
Gold Coast Suns,3-0-4,0.8635761589403973,1.06,0.02,0.0,0.0,0.0,0.02,0.02,0.11,0.19,0.72,2.06,5.94,17.25,29.49,21.91,12.23,6.13,2.83,0.9400000000000001,0.16,L 87-160 v MEL,14/5 @ GWS,12.4164,0.3401360544217687
Carlton,3-0-4,0.795751633986928,0.54,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.1,0.41000000000000003,1.23,4.17,12.43,21.23,26.05,18.029999999999998,9.8,4.54,1.73,0.25,W 99-84 @ COL,15/5 v PA,12.9303,0.3086734693877551
Collingwood,2-0-5,0.7948369565217391,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.19,0.76,3.6799999999999997,10.91,17.1,23.44,21.32,13.38,7.03,2.12,L 84-99 v CAR,14/5 @ BL,14.2327,0.28401360544217685
Fremantle,0-0-7,0.7071129707112971,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,0.66,2.3,5.41,10.02,16.93,21.86,23.1,19.6,L 77-95 v GWS,14/5 @ HAW,15.9584,0.26105442176870747
Essendon,1-0-6,0.5783633841886269,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.16999999999999998,0.53,1.53,4.0,7.66,14.99,25.19,45.9,L 54-135 @ SYD,14/5 v NM,16.9357,0.272108843537415
Richmond,1-0-6,0.731457800511509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.21,1.43,5.0200000000000005,9.58,18.09,22.18,20.16,14.649999999999999,8.64,L 90-136 v HAW,14/5 v SYD,15.1606,0.26785714285714285
Brisbane Lions,1-0-6,0.664327485380117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.5499999999999999,1.8800000000000001,4.390000000000001,8.12,13.389999999999999,21.279999999999998,27.02,23.24,L 59-136 @ PA,14/5 v COL,16.1964,0.3214285714285714
