7/10/2016,6:50 PM,Brisbane Roar,Melbourne Victory,,,Suncorp Stadium
8/10/2016,7:35 PM,Wellington Phoenix,Melbourne City,,,Westpac Stadium
8/10/2016,7:50 PM,Western Sydney,Sydney FC,,,ANZ Stadium
8/10/2016,7:00 PM,Perth Glory,Central Coast,,,nib Stadium
9/10/2016,5:00 PM,Newcastle Jets,Adelaide United,,,Hunter Stadium
14/10/2016,7:20 PM,Adelaide United,Western Sydney,,,Coopers Stadium
15/10/2016,5:35 PM,Sydney FC,Central Coast,,,Allianz Stadium
15/10/2016,7:50 PM,Melbourne Victory,Melbourne City,,,Etihad Stadium
16/10/2016,5:00 PM,Newcastle Jets,Brisbane Roar,,,Hunter Stadium
16/10/2016,4:00 PM,Perth Glory,Wellington Phoenix,,,nib Stadium
21/10/2016,7:50 PM,Melbourne City,Perth Glory,,,AAMI Park
22/10/2016,5:35 PM,Central Coast,Brisbane Roar,,,Central Coast Stadium
22/10/2016,7:20 PM,Adelaide United,Melbourne Victory,,,Coopers Stadium
23/10/2016,7:00 PM,Wellington Phoenix,Sydney FC,,,Westpac Stadium
23/10/2016,7:00 PM,Western Sydney,Newcastle Jets,,,Spotless Stadium
28/10/2016,7:50 PM,Melbourne City,Adelaide United,,,AAMI Park
29/10/2016,5:35 PM,Newcastle Jets,Sydney FC,,,Hunter Stadium
29/10/2016,7:50 PM,Western Sydney,Central Coast,,,Spotless Stadium
30/10/2016,4:00 PM,Brisbane Roar,Perth Glory,,,Suncorp Stadium
31/10/2016,7:50 PM,Melbourne Victory,Wellington Phoenix,,,Etihad Stadium
4/11/2016,6:50 PM,Brisbane Roar,Melbourne City,,,Suncorp Stadium
5/11/2016,7:35 PM,Wellington Phoenix,Newcastle Jets,,,Westpac Stadium
5/11/2016,7:50 PM,Sydney FC,Melbourne Victory,,,Allianz Stadium
6/11/2016,4:30 PM,Adelaide United,Central Coast,,,Coopers Stadium
6/11/2016,4:00 PM,Perth Glory,Western Sydney,,,nib Stadium
10/11/2016,7:50 PM,Melbourne City,Newcastle Jets,,,AAMI Park
11/11/2016,7:20 PM,Adelaide United,Brisbane Roar,,,Coopers Stadium
12/11/2016,5:35 PM,Central Coast,Wellington Phoenix,,,GIO Stadium
12/11/2016,7:50 PM,Melbourne Victory,Western Sydney,,,Etihad Stadium
13/11/2016,5:00 PM,Sydney FC,Perth Glory,,,Allianz Stadium
18/11/2016,7:50 PM,Western Sydney,Melbourne City,,,Spotless Stadium
18/11/2016,7:00 PM,Perth Glory,Adelaide United,,,nib Stadium
19/11/2016,7:35 PM,Wellington Phoenix,Melbourne Victory,,,Westpac Stadium
19/11/2016,6:50 PM,Brisbane Roar,Sydney FC,,,Suncorp Stadium
20/11/2016,5:00 PM,Newcastle Jets,Central Coast,,,Hunter Stadium
24/11/2016,7:50 PM,Central Coast,Perth Glory,,,Central Coast Stadium
25/11/2016,7:50 PM,Western Sydney,Brisbane Roar,,,Spotless Stadium
26/11/2016,5:35 PM,Melbourne Victory,Newcastle Jets,,,AAMI Park
26/11/2016,7:50 PM,Sydney FC,Adelaide United,,,Allianz Stadium
27/11/2016,5:00 PM,Melbourne City,Wellington Phoenix,,,AAMI Park
2/12/2016,7:50 PM,Melbourne Victory,Perth Glory,,,AAMI Park
3/12/2016,5:35 PM,Central Coast,Western Sydney,,,Central Coast Stadium
3/12/2016,7:50 PM,Melbourne City,Brisbane Roar,,,AAMI Park
4/12/2016,5:00 PM,Newcastle Jets,Sydney FC,,,Hunter Stadium
4/12/2016,6:30 PM,Adelaide United,Wellington Phoenix,,,Coopers Stadium
9/12/2016,7:50 PM,Sydney FC,Melbourne City,,,TBC
10/12/2016,7:35 PM,Wellington Phoenix,Central Coast,,,Waikato Stadium
10/12/2016,7:50 PM,Western Sydney,Melbourne Victory,,,ANZ Stadium
10/12/2016,7:00 PM,Perth Glory,Newcastle Jets,,,nib Stadium
11/12/2016,4:00 PM,Brisbane Roar,Adelaide United,,,Suncorp Stadium
16/12/2016,7:50 PM,Newcastle Jets,Adelaide United,,,Hunter Stadium
17/12/2016,7:35 PM,Wellington Phoenix,Western Sydney,,,Mt Smart Stadium
17/12/2016,7:50 PM,Melbourne City,Melbourne Victory,,,AAMI Park
17/12/2016,7:00 PM,Perth Glory,Sydney FC,,,nib Stadium
18/12/2016,5:00 PM,Central Coast,Brisbane Roar,,,Central Coast Stadium
23/12/2016,6:50 PM,Brisbane Roar,Western Sydney,,,Suncorp Stadium
26/12/2016,5:35 PM,Newcastle Jets,Wellington Phoenix,,,Hunter Stadium
26/12/2016,7:20 PM,Adelaide United,Sydney FC,,,Coopers Stadium
27/12/2016,7:50 PM,Melbourne City,Perth Glory,,,AAMI Park
28/12/2016,7:50 PM,Melbourne Victory,Central Coast,,,AAMI Park
30/12/2016,7:50 PM,Sydney FC,Brisbane Roar,,,Allianz Stadium
31/12/2016,7:00 PM,Central Coast,Melbourne City,,,Central Coast Stadium
1/01/2017,7:50 PM,Western Sydney,Perth Glory,,,ANZ Stadium
2/01/2017,7:35 PM,Wellington Phoenix,Adelaide United,,,Westpac Stadium
2/01/2017,7:50 PM,Melbourne Victory,Newcastle Jets,,,Simonds Stadium
5/01/2017,6:00 PM,Perth Glory,Wellington Phoenix,,,nib Stadium
6/01/2017,7:50 PM,Melbourne City,Western Sydney,,,AAMI Park
7/01/2017,4:35 PM,Brisbane Roar,Newcastle Jets,,,Suncorp Stadium
7/01/2017,7:20 PM,Adelaide United,Melbourne Victory,,,Coopers Stadium
8/01/2017,5:00 PM,Central Coast,Sydney FC,,,Central Coast Stadium
12/01/2017,7:20 PM,Adelaide United,Melbourne City,,,Coopers Stadium
13/01/2017,7:50 PM,Melbourne Victory,Brisbane Roar,,,AAMI Park
14/01/2017,7:35 PM,Wellington Phoenix,Central Coast,,,Westpac Stadium
14/01/2017,7:50 PM,Sydney FC,Western Sydney,,,Allianz Stadium
15/01/2017,5:00 PM,Newcastle Jets,Perth Glory,,,Hunter Stadium
19/01/2017,7:50 PM,Melbourne City,Central Coast,,,AAMI Park
20/01/2017,7:50 PM,Sydney FC,Adelaide United,,,Allianz Stadium
21/01/2017,7:35 PM,Wellington Phoenix,Brisbane Roar,,,Westpac Stadium
21/01/2017,5:00 PM,Perth Glory,Melbourne Victory,,,nib Stadium
22/01/2017,5:00 PM,Western Sydney,Newcastle Jets,,,Campbelltown Stadium
26/01/2017,7:50 PM,Melbourne Victory,Sydney FC,,,Etihad Stadium
27/01/2017,7:50 PM,Newcastle Jets,Melbourne City,,,C.ex Coffs International Stadium
28/01/2017,5:35 PM,Central Coast,Perth Glory,,,Central Coast Stadium
28/01/2017,6:50 PM,Brisbane Roar,Western Sydney,,,Suncorp Stadium
29/01/2017,4:30 PM,Adelaide United,Wellington Phoenix,,,Coopers Stadium
3/02/2017,6:50 PM,Brisbane Roar,Sydney FC,,,Suncorp Stadium
4/02/2017,7:35 PM,Wellington Phoenix,Western Sydney,,,Yarrow Stadium
4/02/2017,7:50 PM,Melbourne Victory,Melbourne City,,,Etihad Stadium
4/02/2017,7:00 PM,Perth Glory,Newcastle Jets,,,nib Stadium
5/02/2017,5:00 PM,Central Coast,Adelaide United,,,GIO Stadium
9/02/2017,7:50 PM,Sydney FC,Wellington Phoenix,,,Allianz Stadium
10/02/2017,7:20 PM,Adelaide United,Perth Glory,,,Coopers Stadium
11/02/2017,5:35 PM,Newcastle Jets,Melbourne Victory,,,Hunter Stadium
11/02/2017,7:50 PM,Melbourne City,Brisbane Roar,,,AAMI Park
12/02/2017,5:00 PM,Western Sydney,Central Coast,,,Spotless Stadium
17/02/2017,7:20 PM,Adelaide United,Newcastle Jets,,,Coopers Stadium
18/02/2017,7:35 PM,Wellington Phoenix,Melbourne City,,,Westpac Stadium
18/02/2017,7:50 PM,Western Sydney,Sydney FC,,,ANZ Stadium
18/02/2017,7:00 PM,Perth Glory,Brisbane Roar,,,nib Stadium
19/02/2017,5:00 PM,Central Coast,Melbourne Victory,,,Central Coast Stadium
24/02/2017,7:50 PM,Melbourne City,Sydney FC,,,AAMI Park
25/02/2017,5:35 PM,Newcastle Jets,Central Coast,,,Hunter Stadium
25/02/2017,7:50 PM,Melbourne Victory,Adelaide United,,,AAMI Park
25/02/2017,7:00 PM,Perth Glory,Western Sydney,,,nib Stadium
26/02/2017,4:00 PM,Brisbane Roar,Wellington Phoenix,,,Suncorp Stadium
3/03/2017,7:50 PM,Newcastle Jets,Brisbane Roar,,,Hunter Stadium
4/03/2017,7:35 PM,Wellington Phoenix,Perth Glory,,,QBE Stadium
4/03/2017,7:50 PM,Western Sydney,Adelaide United,,,Spotless Stadium
5/03/2017,5:00 PM,Central Coast,Melbourne City,,,Central Coast Stadium
5/03/2017,7:00 PM,Sydney FC,Melbourne Victory,,,Allianz Stadium
10/03/2017,7:50 PM,Sydney FC,Central Coast,,,Allianz Stadium
11/03/2017,7:50 PM,Melbourne Victory,Perth Glory,,,AAMI Park
18/03/2017,7:50 PM,Melbourne City,Newcastle Jets,,,AAMI Park
19/03/2017,4:30 PM,Adelaide United,Brisbane Roar,,,Coopers Stadium
TBC,TBC,Western Sydney,Wellington Phoenix,,,Spotless Stadium
TBC,TBC,Western Sydney,Melbourne City,,,Spotless Stadium
25/03/2017,5:35 PM,Central Coast,Adelaide United,,,Central Coast Stadium
25/03/2017,6:50 PM,Brisbane Roar,Melbourne Victory,,,Suncorp Stadium
26/03/2017,7:00 PM,Wellington Phoenix,Newcastle Jets,,,Westpac Stadium
26/03/2017,4:00 PM,Perth Glory,Sydney FC,,,nib Stadium
31/03/2017,7:20 PM,Adelaide United,Perth Glory,,,Coopers Stadium
1/04/2017,5:35 PM,Newcastle Jets,Western Sydney,,,Hunter Stadium
1/04/2017,7:50 PM,Sydney FC,Melbourne City,,,Allianz Stadium
2/04/2017,5:00 PM,Melbourne Victory,Wellington Phoenix,,,AAMI Park
2/04/2017,7:00 PM,Brisbane Roar,Central Coast,,,Suncorp Stadium
7/04/2017,7:50 PM,Melbourne City,Adelaide United,,,AAMI Park
8/04/2017,7:35 PM,Wellington Phoenix,Sydney FC,,,Westpac Stadium
8/04/2017,7:50 PM,Western Sydney,Melbourne Victory,,,ANZ Stadium
8/04/2017,8:00 PM,Perth Glory,Brisbane Roar,,,nib Stadium
9/04/2017,5:00 PM,Central Coast,Newcastle Jets,,,Central Coast Stadium
14/04/2017,7:50 PM,Melbourne Victory,Central Coast,,,AAMI Park
15/04/2017,5:35 PM,Sydney FC,Newcastle Jets,,,Allianz Stadium
15/04/2017,7:20 PM,Adelaide United,Western Sydney,,,Coopers Stadium
16/04/2017,5:00 PM,Brisbane Roar,Wellington Phoenix,,,Suncorp Stadium
16/04/2017,5:00 PM,Perth Glory,Melbourne City,,,nib Stadium
